項番,区分,診療行為名称,記載事項,コメントコード,表示文言,紙レセのみ,適用
1,-,-,請求に際して、特に説明が必要と判断される内容は、簡潔に記載すること。,,―,,
2,-,-,医科点数表の例により算定することと告示された項目については、医科の記載要領の別表Ⅰに準じて記載すること。ジュン,,―,,
3,Ａ000,初診料ショシンリョウ,（健康診断の結果に基づき治療を開始する場合において、初診料を算定しない場合）健康診断の結果に基づき治療を開始した旨を記載すること。ケッカモトチリョウカイシ,820100300,健康診断の結果に基づき治療開始,,
4,A000,初診料注９　地域歯科医療加算チイキシカイリョウカサン,歯科巡回診療車による巡回診療の内容を記載すること。,820101872,イ　都道府県等が設置している保険医療機関が歯科巡回診療車を所有している。,,※
5,Ａ000,初診料注12　歯科診療特別対応連携加算ショシンリョウチュウ,当該患者の紹介元保険医療機関名を記載すること。,830100333,特連紹介元保険医療機関名；******,,
6,Ａ000,初診料注13　歯科診療特別対応地域支援加算,当該患者の紹介元保険医療機関名を記載すること。,830100334,特地紹介元保険医療機関名；******,,
7,Ａ000,初診料注６　歯科診療特別対応加算１、２ショシンリョウチュウシカシンリョウトクベツタイオウカサン,（感染症患者に対して歯科診療特別対応加算１又は２を算定した場合）患者の病名を選択して記載すること。カンセンショウカンジャタイシカシンリョウトクベツタイオウカサンマタカンジャビョウメイセンタク,820101196,（ア）狂犬病,,
8,A000,歯科診療特別対応加算１、２及び３,診療時間を記載すること。,CA002（301000470）,歯科診療特別対応加算１（初診）****分,○,
9,Ａ002,再診料（同日再診）（同日電話再診）サイシンリョウドウジツサイシンドウジツデンワサイシン,（同日に２回以上の再診（電話等再診を含む。）がある場合）同日再診、同日電話再診のうち該当するものを記載すること。,301003050,同日再診,○,
10,Ａ002,再診料（電話再診）サイシンリョウデンワサイシン,電話再診に係る再診料の回数を記載すること（再掲）。,301002810,電話等再診,○,
11,Ａ002,歯科診療特別対応加算１、２シカシンリョウトクベツタイオウカサン,（感染症患者に対して歯科診療特別対応加算を算定した場合）患者の病名を記載すること。カンセンショウカンジャタイシカシンリョウトクベツタイオウカサンカンジャビョウメイ,820101196,（ア）狂犬病,,
12,A002,歯科診療特別対応加算１、２及び３,診療時間を記載すること。,CA015（301001970）,歯科診療特別対応加算１（再診）****分,○,
